pattern_name,sale_type,repeat_width_inches,repeat_height_inches,material_width_inches,panel_sequence,available_lengths_feet,pattern_match,min_yard_order,repeat_url,sku,product_tearsheet_url,product_page_url,360_view_url,description
Agate in Amazonite,panel,55,55,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/AG04.jpg,AG04.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Agate-Amazonite-AG04.2-Tearsheet.pdf?v=1778172923,https://fayebell.com/products/agate-in-amazonite,,
Agate in Aventurine,panel,55,55,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/AG07.jpg,AG07.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Agate-Aventurine-AG07.2-Tearsheet.pdf?v=1778172923,https://fayebell.com/products/agate-in-aventurine,,
Agate in Lavender Amethyst,panel,55,55,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/AG05.jpg,AG05.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Agate-LavenderAmethyst-AG05.2-Tearsheet.pdf?v=1778172923,https://fayebell.com/products/agate-in-lavender-amethyst,,
Agate in Mahogany Obsidian,panel,55,55,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/AG06.jpg,AG06.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Agate-MahoganyObsidian-AG06.2-Tearsheet.pdf?v=1778172924,https://fayebell.com/products/agate-in-mahogany-obsidian,,
Agate in Malachite,panel,55,55,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/AG08.jpg,AG08.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Agate-Malachite-AG08.2-Tearsheet.pdf?v=1778172923,https://fayebell.com/products/agate-in-malachite,,
Agate in Rose Quartz,panel,55,55,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/AG02.jpg,AG02.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Agate-RoseQuartz-AG02.2-Tearsheet.pdf?v=1778172923,https://fayebell.com/products/agate-in-rose-quartz,,
Atoll Flash in Addu,panel,52,52,52,A,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/ATF02.jpg,ATF02,cdn.shopify.com/s/files/1/0571/8700/8610/files/FayeBell-AtollFlash-Addu-ATF02-Tearsheet.pdf?v=1742312270,https://fayebell.com/products/atoll-flash-in-addu,,
Atoll Flash in Maro,panel,52,52,52,A,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/ATF01.jpg,ATF01,cdn.shopify.com/s/files/1/0571/8700/8610/files/FayeBell-AtollFlash-Maro-ATF01-Tearsheet.pdf?v=1742312270,https://fayebell.com/products/atoll-flash-in-maro,,
Atoll Flash in Mulaku,panel,52,52,52,A,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/ATF03.jpg,ATF03,cdn.shopify.com/s/files/1/0571/8700/8610/files/FayeBell-AtollFlash-Mulaku-ATF03-Tearsheet.pdf?v=1742312270,https://fayebell.com/products/atoll-flash-in-mulaku,,
Cabochon in Jasper,yard,27.5,35.7,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/CAB04.png,CAB04.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Cabochon-Jasper-CAB04.2-Tearsheet.pdf?v=1778173012,https://fayebell.com/products/cabochon-in-jasper,https://panoraven.com/en/embed/bnSCIkQTBM,
Cabochon in Malachite,yard,27.5,35.7,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/CAB05.png,CAB05.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Cabochon-Malachite-CAB05.2-Tearsheet.pdf?v=1778173014,https://fayebell.com/products/cabochon-in-malachite,https://panoraven.com/en/embed/S2HA4z4fLN,
Cabochon in Pearl,yard,27.5,35.7,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/CAB01.png,CAB01.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Cabochon-Pearl-CAB01.2-Tearsheet.pdf?v=1778173011,https://fayebell.com/products/cabochon-in-pearl,https://panoraven.com/en/embed/Ar1E4DOSdP,
Cabochon in Rose Quartz,yard,27.5,35.7,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/CAB02.png,CAB02.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Cabochon-RoseQuartz-CAB02.2-Tearsheet.pdf?v=1778173011,https://fayebell.com/products/cabochon-in-rose-quartz,https://panoraven.com/en/embed/7DCwfKOLPo,
